Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Pines,Blake Crouch,"",1503946606,paperback,read,2016/07/09,2016/07/11,2016/07/11,1,"",,,,,,,3.0,,"",,"",Yes
A Dangerous Inheritance,Alison Weir,"",9780345511898,hardcover,read,2013/01/28,2014/10/25,2014/10/25,4,"",,,,,,,4.0,,"",,"",Yes
The Virgin's Lover,Philippa Gregory,"",9780743256155,hardcover,read,2017/09/21,2020/04/05,2020/04/05,1,"",,,,,,,4.0,,"",,"",No
Decline and Fall,Evelyn Waugh,"",9780316926072,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",No
"Strangers in Paradise, Volume 9: My Child Of Rage",Terry Moore,"",,digital,read,2011/04/10,2025/03/13,2025/03/13-2025/03/13,2,"",,,,,,,5.0,,"",,"",Yes
Philomel Cottage,Agatha Christie,"",9780062129826,digital,read,2015/11/01,2015/11/01,2015/11/01,1,"",,,,,,,4.0,,"",,"",No
Shopaholic Ties the Knot,Sophie Kinsella,"",9780440241898,paperback,read,2013/02/22,"","",1,"",,,,,,,2.0,,"",,"",No
Jane Seymour: The Haunted Queen,Alison Weir,"","",digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
"The Shelters of Stone (with Bonus Content): Earth's Children, Book Five",Jean M. Auel,"",9780307767646,digital,read,2011/06/27,"","",3,"",,,,,,,4.0,,"",,"",Yes
Pop Goes the Weasel,James Patterson,"",9780446608817,paperback,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",Yes
Kindred,Octavia E. Butler,"",9780807006924,hardcover,read,2024/01/02,2024/01/03,2024/01/03,1,"",,,,,,,5.0,,"",,"",Yes
The Jaunt,Stephen King,"","",digital,read,2022/04/11,2022/04/11,2022/04/11,1,"",,,,,,,5.0,,"",,"",No
The Power,Naomi Alderman,"",9780316547659,digital,read,2019/12/30,2019/12/30,2019/12/30,1,"",,,,,,,5.0,,"",,"",No
The Firm,John Grisham,"",9780345534965,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Murder in the Cathedral,T.S. Eliot,"",9780571362790,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The White Queen,Philippa Gregory,"",9781416563686,hardcover,read,2011/04/12,2011/01/01,2011/01/01,4,"",,,,,,,4.0,,"",,"",Yes
A Fine Balance,Rohinton Mistry,"",9780679446088,hardcover,read,2011/04/14,"","",1,"",,,,,,,5.0,,"",,"",No
The Running Man,"Stephen King, Richard Bachman","",9780451197962,paperback,read,2012/06/25,2012/06/23,2012/06/23,1,"",,,,,,,5.0,,"",,"",No
Dangerous Liaisons (Centaur Classics) [The 100 greatest novels of all time - #41],Pierre Choderlos de Laclos,Thomas Moore,B01BPVWY92,digital,read,2018/06/24,2018/06/28,2018/06/28,1,"",,,,,,,5.0,,"",,"",Yes
Katherine,Anya Seton,"",9780547416403,digital,read,2023/10/30,2023/11/03,2023/11/03,1,"",,,,,,,4.0,,"",,"",Yes
Watership Down,Richard Adams,Aldo Galli (Illustrator),9781442444058,hardcover,read,2013/02/22,2016/05/02,2016/05/02,1,"",,,,,,,5.0,,"",,"",Yes
A Clash of Kings,George R.R. Martin,"","",paperback,read,2014/06/22,2016/05/14,2016/05/14,1,"",,,,,,,5.0,4th time,"",,"",Yes
The Talented Mr. Ripley,Patricia Highsmith,"",9780679742296,paperback,read,2011/04/09,"","",1,"",,,,,,,4.0,,"",,"",Yes
A Raisin in the Sun,Lorraine Hansberry,"",9780451149855,paperback,read,2011/04/10,"","",1,"",,,,,,,4.0,,"",,"",Yes
A Separate Peace,John Knowles,"","",digital,read,2013/02/22,"","",1,"",,,,,,,3.0,,"",,"",No
The Wit & Wisdom of Tyrion Lannister,George R.R. Martin,"",9780345539120,hardcover,read,2021/04/13,2021/04/13,2021/04/13,1,"",,,,,,,3.0,,"",,"",Yes
Les Misérables,Victor Hugo,"",B004GHNIRK,digital,did-not-finish,2020/02/03,"","",0,"",,,,,,,,,"",,"",Yes
Different Seasons,Stephen King,"",9780751514629,paperback,read,2013/02/22,"","",1,"",,,,,,,4.0,,"",,"",No
London Bridges,James Patterson,"",9780316710596,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
A Feast for Crows,George R.R. Martin,"","",digital,read,2014/06/30,2016/05/21,2016/05/21,2,"",,,,,,,5.0,,"",,"",Yes
Unwind,Neal Shusterman,"",9781416912040,hardcover,read,2023/10/15,2023/10/18,2023/10/18,1,"",,,,,,,5.0,,"",,"",Yes
Green Eggs and Ham,Dr. Seuss,"",9780394800165,hardcover,read,2020/01/19,"","",1,"",,,,,,,,,"",,"",No
